Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Postcode
Just Pies Inc,Quick Serve,Dessert,260 W 44th St,2127217001,,10036
Godiva Chocolatier Inc.,Quick Serve,Dessert,1460 Broadway,(212) 840-6758,www.godiva.com,10036
Crumbs,Quick Serve,Dessert,1675 Broadway,2127949800,http://crumbs.com/,10019
Carvel,Quick Serve,Dessert,1501 Broadway,212 391-6675,,10036
Coldstone Creamery,Quick Serve,Dessert,1501 Broadway, Suite 1604,(212) 398-1882,www.coldstonecreamery.com,10036
Dippin' Dots,Quick Serve,Dessert,234 W 42nd St,,www.dippindots.com,10036
Haagen-Dazs,Quick Serve,Dessert,761-779 Seventh Ave,,www.haagen-dazs.com,10019
vacant (Red Mango),Quick Serve,Dessert,723 Eighth Ave,(212) 315-0101,http://www.redmangousa.com/default.html,10036
Tasti D-Lite,Quick Serve,Dessert,1588 Broadway,(212) 977-4000,,10036
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,10019
Auntie Anne's,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,10036
Ranch 1,Quick Serve,Fast Food,141 W 41st St,,http://www.ranch1.com/,10036
McDonald's,Quick Serve,Fast Food,1651 Broadway,2125865530,,10019
McDonald's,Quick Serve,Fast Food,220 W 42nd St,2122217664,www.mcdonalds.com,10036
McDonald's,Quick Serve,Fast Food,688 Eighth Ave,2122213941,,10036
McDonald's,Quick Serve,Fast Food,1560 Broadway, Suite# 1651,2129218900,www.mcdonalds.com,10036
Subway,Quick Serve,Fast Food,214 W 50th St,2122651822,,10019
Ranch 1,Quick Serve,Fast Food,234 W 42nd St,,,10036
Subway,Quick Serve,Fast Food,136 W 44th St,2128400792,www.subway.com wwww.papajohns.com,10036
Teriyaki Boy (month to month),Quick Serve,Japanese,732 Seventh Ave,(212) 265-8181,,10019
Baja Fresh Mexican Grill,Quick Serve,Mexican,1441 Broadway,(212) 764-9084,,10018
Qdoba Mexican Grill,Quick Serve,Mexican,135 W 50th St,2127670040,www.qdoba.com,10020
Chipotle Mexican grill,Quick Serve,Mexican,854 Eighth Ave,(212) 757-4312,www.chipotle.com,10019
Dale & Thomas Popcorn,Quick Serve,Other,1592 Broadway,(212) 581-1872,www.daleandthomas.com,10036
Famous Famiglia Pizzeria,Quick Serve,Pizza,1630 Broadway,(212) 333-4646,www.famousfamiglia.com,10019
Domino's Pizza,Quick Serve,Pizza,230 W 41st St,2129440400,,10036
Pizza Hut,Quick Serve,Pizza,761-779 Seventh Ave,2127678347,www.pizzahut.com,10019
Sbarro,Quick Serve,Pizza,701 Seventh Ave,2122219725,,10036
Papa John's/Subway,Quick Serve,Pizza,765 Eighth Ave,2122451900,www.papajohns.com,10036
A Slice of New York Pizza,Quick Serve,Pizza,727 Eighth Ave,212-453-8970,,10036
Patzeria Pizza,Quick Serve,Pizza,231 W 46th St,(212) 575-7646,http://www.patzeriaspizzanyc.com,10036
Z Deli-Pizzeria,Quick Serve,Pizza,803 Eighth Ave,(212) 315-1659,,10019
Amadeus Pizza,Quick Serve,Pizza,856 Eighth Ave,(212) 489-6187,www.rayspizzany.com,10019
Villa Pizza,Quick Serve,Pizza,662 Eighth Ave,(212) 302-2941,www.villapizza.com,10036
Mama Sbarro's,Quick Serve,Pizza,1606 Broadway,(212) 768-4194,www.sbarro.com,10019
Ray's Famous Pizza,Quick Serve,Pizza,736 Seventh Ave,(212) 956-7297,www.rayspizzany.com,10019
Famous Famiglia Pizza,Quick Serve,Pizza,686 Eighth Ave,(212) 382-3030,,10036
